feature,importance
clearness_index,20.924879112336722
direct_radiation_lag_1h,12.474043053793991
shortwave_radiation,11.060666754822183
ghi_std_12h,6.34811177735017
hour_sin,5.132544324761323
hour,4.043431294356221
diffuse_radiation,3.968561712150706
cloud_cover,2.679703388188518
direct_radiation_lag_24h,2.524490244918902
temperature_2m,2.0298678143004913
cloud_cover_lag_1h,1.9786158571782015
direct_radiation,1.962579315100359
hour_cos,1.7443915376340005
temperature_2m_lag_2h,1.5738142519520415
cloud_cover_lag_2h,1.4806557197424575
shortwave_radiation_lag_1h,1.4376139602616607
shortwave_radiation_lag_12h,1.4146324786247846
temp_std_6h,1.3464901883367304
relative_humidity_2m,1.3443376720641158
cloud_cover_lag_3h,1.1110591293132301
ghi_dni_ratio,0.9536634252067191
temperature_2m_lag_24h,0.9353095072535001
cloud_cover_mid,0.833352323048864
shortwave_radiation_lag_3h,0.8148631504148216
doy_sin,0.7108204589524154
month,0.5855528942814946
shortwave_radiation_lag_2h,0.5353501028608096
temperature_2m_lag_12h,0.5223836192567621
shortwave_radiation_lag_24h,0.5222127979111768
cloud_cover_high,0.510449477290857
ghi_std_3h,0.5020394464915725
wind_speed_10m,0.45702512132631207
temp_std_12h,0.4347643098888754
cloud_cover_lag_12h,0.41120729449877136
temperature_2m_lag_3h,0.40229122825911207
surface_pressure,0.38951249279201205
cloud_cover_lag_6h,0.33353443972719765
total_cloud_cover,0.32767285124117274
wind_direction_10m,0.3062087860429551
direct_radiation_lag_3h,0.28834675546134075
cloud_cover_lag_24h,0.28339931286747777
doy_cos,0.27200285978097
ghi_std_6h,0.2508811849782529
temp_std_3h,0.23951556392265314
temperature_2m_lag_1h,0.2181837237310543
direct_radiation_lag_6h,0.21681289707630508
direct_radiation_lag_2h,0.18846272942869882
shortwave_radiation_lag_6h,0.14854879239165797
weather_code,0.14608640687539717
day_of_week,0.1354302194853388
day_of_year,0.1267445227430784
temperature_2m_lag_6h,0.1254504678396322
is_weekend,0.11898655802803737
cloud_cover_low,0.07547518151100172
year,0.05200139244784682
precipitation,0.041096193048808155
direct_radiation_lag_12h,0.003871924450248702
