feature,importance
clearness_index,14.640104868957904
shortwave_radiation,8.938039967859785
direct_radiation_lag_1h,8.541373821671499
hour_sin,7.348391759523944
ghi_std_12h,5.605629511412625
direct_radiation_lag_2h,4.6069996696806115
direct_radiation,3.6670323316808853
ghi_std_3h,3.4297299112514836
shortwave_radiation_lag_6h,2.683296051768439
shortwave_radiation_lag_3h,2.599447840593392
temperature_2m,2.560972688093747
diffuse_radiation,2.258915666162709
relative_humidity_2m,2.192835716160852
temperature_2m_lag_3h,2.189642862257233
cloud_cover_lag_1h,2.0256309546662217
direct_radiation_lag_24h,1.788280535151181
shortwave_radiation_lag_1h,1.6749008686177247
cloud_cover,1.668666902989729
ghi_dni_ratio,1.5991678551845718
hour,1.5019767893712554
temperature_2m_lag_24h,1.3213129106765855
shortwave_radiation_lag_12h,1.1869198990357377
cloud_cover_lag_2h,1.1865427328321294
cloud_cover_lag_12h,1.1279848285260206
hour_cos,1.01184730838637
cloud_cover_lag_3h,0.9272459185924787
month,0.9012869981764872
shortwave_radiation_lag_24h,0.8816184519034996
cloud_cover_mid,0.8316648296225284
temperature_2m_lag_12h,0.7256812689161607
doy_sin,0.7205406945588756
cloud_cover_high,0.712973074545823
doy_cos,0.6519982236431133
temperature_2m_lag_1h,0.6374709377701782
temperature_2m_lag_6h,0.5449178534432958
wind_speed_10m,0.4804795788902477
day_of_year,0.46693547941522895
temp_std_12h,0.4192410426427367
temperature_2m_lag_2h,0.4177500936033297
surface_pressure,0.35835921338899757
ghi_std_6h,0.299522084386351
temp_std_3h,0.292046886379581
wind_direction_10m,0.28327529113316086
cloud_cover_lag_24h,0.2410131923152794
year,0.22726764937200136
direct_radiation_lag_3h,0.22662538811258115
direct_radiation_lag_6h,0.2018530930596268
temp_std_6h,0.19707843248892984
shortwave_radiation_lag_2h,0.1874227805614694
weather_code,0.18259627115347163
total_cloud_cover,0.16523208065765788
day_of_week,0.1515041583986267
is_weekend,0.13310642770865685
cloud_cover_lag_6h,0.12559336585534558
cloud_cover_low,0.029491323739543072
precipitation,0.01531878982468178
direct_radiation_lag_12h,0.0072448732274211685
