feature,importance
clearness_index,19.976147037072153
shortwave_radiation,19.80823043516189
direct_radiation_lag_1h,6.252434053869474
ghi_std_12h,5.2132555595091485
diffuse_radiation,4.186114308889348
hour_sin,3.3452191391850477
cloud_cover_lag_2h,3.2400311929513115
shortwave_radiation_lag_6h,2.759934870850001
shortwave_radiation_lag_24h,2.262467528269408
ghi_dni_ratio,2.198277493055696
shortwave_radiation_lag_12h,2.0605682392536315
cloud_cover,2.0395560655367704
temperature_2m,1.8915740720887184
cloud_cover_lag_1h,1.7587869708166533
hour_cos,1.6781280345784877
cloud_cover_lag_12h,1.6225636725937262
temperature_2m_lag_2h,1.575120892884876
direct_radiation_lag_24h,1.4382279659385033
direct_radiation,1.3925186494617812
shortwave_radiation_lag_1h,1.3868487878991562
relative_humidity_2m,1.143606215121002
doy_cos,0.9875431854359887
temperature_2m_lag_24h,0.7388594782704382
shortwave_radiation_lag_3h,0.6851110366059252
cloud_cover_lag_3h,0.6827065423279244
cloud_cover_lag_24h,0.5875523964792505
cloud_cover_high,0.571118357425739
temp_std_6h,0.5620975158498132
surface_pressure,0.5238095433704376
doy_sin,0.508367279119457
cloud_cover_mid,0.49167387374583166
ghi_std_3h,0.4854293240822075
shortwave_radiation_lag_2h,0.4728723885376798
temperature_2m_lag_12h,0.46155672677441784
month,0.42156578911089415
temperature_2m_lag_3h,0.4157068656809365
wind_direction_10m,0.40875069375338874
total_cloud_cover,0.3193192524885185
wind_speed_10m,0.3168738849253889
ghi_std_6h,0.30133474360367846
temp_std_12h,0.29438216257312333
temperature_2m_lag_1h,0.2647426989157599
day_of_year,0.2601265704853006
hour,0.24007013092295945
cloud_cover_lag_6h,0.23078514120895824
direct_radiation_lag_6h,0.21194824711966734
temp_std_3h,0.2083265695662129
year,0.19743307493054973
temperature_2m_lag_6h,0.17755499580802728
weather_code,0.16662542214804896
direct_radiation_lag_3h,0.1475740443281115
day_of_week,0.10575824642651405
is_weekend,0.08623778393974907
direct_radiation_lag_2h,0.08069656695260269
precipitation,0.07580226092792101
cloud_cover_low,0.0652739252703245
direct_radiation_lag_12h,0.014802095901412212
